"Code du département";"Libellé du département";"Code de la circonscription";"registered";"voted";"whites";"void";"N°Liste 1";"Nuance Liste 1";"Libellé Abrégé Liste 1";"Libellé Etendu Liste 1";"Nom Tête de Liste 1";"Voix 1";"N°Liste 2";"Nuance Liste 2";"Libellé Abrégé Liste 2";"Libellé Etendu Liste 2";"Nom Tête de Liste 2";"Voix 2";"N°Liste 3";"Nuance Liste 3";"Libellé Abrégé Liste 3";"Libellé Etendu Liste 3";"Nom Tête de Liste 3";"Voix 3";"N°Liste 4";"Nuance Liste 4";"Libellé Abrégé Liste 4";"Libellé Etendu Liste 4";"Nom Tête de Liste 4";"Voix 4"
33;"GIRONDE";6;98813;57356;1155;751;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";27542;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";19462;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";8446;;;;;;
33;"GIRONDE";7;75265;44284;744;606;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";24652;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";13143;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";5139;;;;;;
33;"GIRONDE";8;103983;59510;999;985;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";21635;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";23241;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";12650;;;;;;
33;"GIRONDE";9;89949;53104;1315;1262;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";23930;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";15586;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";11011;;;;;;
33;"GIRONDE";10;79543;46754;890;1087;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";18319;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";14531;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";11927;;;;;;
33;"GIRONDE";11;90512;51096;1028;1171;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";20074;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";13158;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";15665;;;;;;
33;"GIRONDE";12;80784;48956;1185;984;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";21434;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";14615;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";10738;;;;;;
34;"HERAULT";1;82430;49418;1199;714;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";20643;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";9837;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";17025;;;;;;
34;"HERAULT";2;60051;31651;807;428;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";18553;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";5733;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";6130;;;;;;
34;"HERAULT";3;82381;52244;1187;835;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";22962;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";11392;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";15868;;;;;;
34;"HERAULT";4;108853;69292;1689;1395;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";28956;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";12319;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";24933;;;;;;
34;"HERAULT";5;93154;58353;1548;1641;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";23026;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";8786;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";23352;;;;;;
34;"HERAULT";6;88712;53203;1218;938;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";17190;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";8419;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";25438;;;;;;
34;"HERAULT";7;99706;61989;1297;1455;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";20118;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";12151;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";26968;;;;;;
34;"HERAULT";8;85976;52074;1314;987;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";21580;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";9037;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";19156;;;;;;
34;"HERAULT";9;80035;47980;1081;803;3;"LUG";"NOTRE SUD EN COMMUN";"Notre Sud en commun - Liste conduite par Carole DELGA";"DELGA Carole";18289;2;"LUD";"JE M'ENGAGE POUR MA REG";"JE M'ENGAGE POUR MA REGION";"REYNIÉ Dominique";9699;9;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"ALIOT Louis";18108;;;;;;
35;"ILLE ET VILAINE";1;88676;47254;1745;1082;2;"LUG";"AVEC J.Y. LE DRIAN";"POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN";"LE DRIAN Jean-Yves";27244;8;"LUD";"LES REPUBLICAINS";"LE CHOIX DE LA BRETAGNE";"LE FUR Marc";10611;7;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PENNELLE Gilles";6572;;;;;;
35;"ILLE ET VILAINE";2;89919;51770;1635;928;2;"LUG";"AVEC J.Y. LE DRIAN";"POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN";"LE DRIAN Jean-Yves";28510;8;"LUD";"LES REPUBLICAINS";"LE CHOIX DE LA BRETAGNE";"LE FUR Marc";14544;7;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PENNELLE Gilles";6153;;;;;;
35;"ILLE ET VILAINE";3;83925;47671;1366;1170;2;"LUG";"AVEC J.Y. LE DRIAN";"POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN";"LE DRIAN Jean-Yves";23847;8;"LUD";"LES REPUBLICAINS";"LE CHOIX DE LA BRETAGNE";"LE FUR Marc";12260;7;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PENNELLE Gilles";9028;;;;;;
35;"ILLE ET VILAINE";4;87587;48192;1521;1017;2;"LUG";"AVEC J.Y. LE DRIAN";"POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN";"LE DRIAN Jean-Yves";23279;8;"LUD";"LES REPUBLICAINS";"LE CHOIX DE LA BRETAGNE";"LE FUR Marc";11100;7;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PENNELLE Gilles";11275;;;;;;
35;"ILLE ET VILAINE";5;100926;54656;1447;1283;2;"LUG";"AVEC J.Y. LE DRIAN";"POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN";"LE DRIAN Jean-Yves";22821;8;"LUD";"LES REPUBLICAINS";"LE CHOIX DE LA BRETAGNE";"LE FUR Marc";19059;7;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PENNELLE Gilles";10046;;;;;;
35;"ILLE ET VILAINE";6;85606;48779;1400;1259;2;"LUG";"AVEC J.Y. LE DRIAN";"POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN";"LE DRIAN Jean-Yves";20908;8;"LUD";"LES REPUBLICAINS";"LE CHOIX DE LA BRETAGNE";"LE FUR Marc";14192;7;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PENNELLE Gilles";11020;;;;;;
35;"ILLE ET VILAINE";7;97014;53755;1368;1055;2;"LUG";"AVEC J.Y. LE DRIAN";"POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN";"LE DRIAN Jean-Yves";24055;8;"LUD";"LES REPUBLICAINS";"LE CHOIX DE LA BRETAGNE";"LE FUR Marc";16497;7;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PENNELLE Gilles";10780;;;;;;
35;"ILLE ET VILAINE";8;79938;42460;1681;870;2;"LUG";"AVEC J.Y. LE DRIAN";"POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN";"LE DRIAN Jean-Yves";24405;8;"LUD";"LES REPUBLICAINS";"LE CHOIX DE LA BRETAGNE";"LE FUR Marc";10590;7;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"PENNELLE Gilles";4914;;;;;;
36;"INDRE";1;81137;47306;1093;1501;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";16620;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";15005;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";13087;;;;;;
36;"INDRE";2;90588;56604;1484;1896;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";19132;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";17951;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";16141;;;;;;
37;"INDRE ET LOIRE";1;67988;36777;689;668;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";17666;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";11707;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";6047;;;;;;
37;"INDRE ET LOIRE";2;86568;53515;1208;1251;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";19647;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";17029;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";14380;;;;;;
37;"INDRE ET LOIRE";3;96629;59333;1326;1486;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";22672;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";19065;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";14784;;;;;;
37;"INDRE ET LOIRE";4;89454;53042;1153;1255;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";20586;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";16641;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";13407;;;;;;
37;"INDRE ET LOIRE";5;82525;50123;1023;1233;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";17574;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";17122;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";13171;;;;;;
38;"ISERE";1;82801;49122;896;316;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";22852;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";19515;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";5543;;;;;;
38;"ISERE";2;76527;42407;805;517;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";19559;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";11757;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";9769;;;;;;
38;"ISERE";3;59579;31542;571;312;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";16489;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";8544;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";5626;;;;;;
38;"ISERE";4;89205;52014;1057;679;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";21257;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";17609;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";11412;;;;;;
38;"ISERE";5;100313;59396;1235;685;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";25381;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";19373;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";12722;;;;;;
38;"ISERE";6;80785;45051;772;569;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";13138;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";15572;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";15000;;;;;;
38;"ISERE";7;89995;53183;1130;808;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";16500;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";18723;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";16022;;;;;;
38;"ISERE";8;76965;44369;861;524;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";14625;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";16026;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";12333;;;;;;
38;"ISERE";9;95455;56247;1375;653;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";21553;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";19439;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";13227;;;;;;
38;"ISERE";10;89176;49786;926;620;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";16449;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";16427;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";15364;;;;;;
39;"JURA";1;64991;41606;1101;1118;10;"LUG";"REGION AVANCE";"NOTRE REGION D'AVANCE";"DUFAY Marie-Guite";14881;3;"LUD";"REGION GRAND";"LA REGION EN GRAND";"SAUVADET François";12957;1;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRÉSENTÉE PAR MARINE LE PEN";"MONTEL Sophie";11549;;;;;;
39;"JURA";2;55160;33953;795;751;10;"LUG";"REGION AVANCE";"NOTRE REGION D'AVANCE";"DUFAY Marie-Guite";11210;3;"LUD";"REGION GRAND";"LA REGION EN GRAND";"SAUVADET François";11302;1;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRÉSENTÉE PAR MARINE LE PEN";"MONTEL Sophie";9895;;;;;;
39;"JURA";3;68582;44019;1055;1030;10;"LUG";"REGION AVANCE";"NOTRE REGION D'AVANCE";"DUFAY Marie-Guite";14975;3;"LUD";"REGION GRAND";"LA REGION EN GRAND";"SAUVADET François";13150;1;"LFN";"FRONT NATIONAL";"LISTE FRONT NATIONAL PRÉSENTÉE PAR MARINE LE PEN";"MONTEL Sophie";13809;;;;;;
40;"LANDES";1;99609;57985;1390;1172;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";25239;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";18230;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";11954;;;;;;
40;"LANDES";2;108623;61896;1644;1511;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";27776;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";20037;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";10928;;;;;;
40;"LANDES";3;95740;59038;1399;1413;2;"LUG";"PLUS FORTS PLUS SOLIDAIRE";"PLUS FORTS PLUS SOLIDAIRES ENSEMBLE";"ROUSSET Alain";28408;3;"LUD";"GENERATION NOUVELLE REGIO";"GENERATION NOUVELLE REGION";"CALMELS Virginie";17378;8;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN";"COLOMBIER Jacques";10440;;;;;;
41;"LOIR ET CHER";1;82327;48819;1003;888;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";19019;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";14403;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";13506;;;;;;
41;"LOIR ET CHER";2;80209;49002;1069;1341;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";14335;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";15621;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";16636;;;;;;
41;"LOIR ET CHER";3;82406;51236;1106;1249;7;"LUG";"A FOND MA REGION";"A FOND MA REGION AVEC FRANCOIS BONNEAU";"BONNEAU François";14674;5;"LUD";"CENTRE RENAISSANCE";"Centre - Val de Loire, la Renaissance !";"VIGIER Philippe";18507;1;"LFN";"LISTE FRONT NATIONAL";"LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN";"LOISEAU Philippe";15700;;;;;;
42;"LOIRE";1;66067;36508;594;389;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";14127;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";13871;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";7527;;;;;;
42;"LOIRE";2;53568;29122;460;323;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";12161;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";10926;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";5252;;;;;;
42;"LOIRE";3;81406;46448;1014;433;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";14742;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";18362;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";11897;;;;;;
42;"LOIRE";4;99898;59361;977;913;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";19367;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";22754;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";15350;;;;;;
42;"LOIRE";5;101721;59716;1148;1282;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";18831;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";22880;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";15575;;;;;;
42;"LOIRE";6;106098;63473;1135;1164;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";17707;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";27772;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";15695;;;;;;
43;"HAUTE LOIRE";1;97165;62170;1348;732;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";15633;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";34422;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";10035;;;;;;
43;"HAUTE LOIRE";2;80061;50872;1212;780;10;"LUG";"NOUS, C'EST LA RÉGION";"NOUS, C'EST LA RÉGION";"QUEYRANNE Jean-Jack";13805;6;"LUD";"WAUQUIEZ 2015, UN NOUVEAU";"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE";"WAUQUIEZ Laurent";28617;3;"LFN";"LISTE FRONT NATIONAL PRÉS";"Liste Front National présentée par Marine LE PEN";"BOUDOT Christophe";6458;;;;;;
